gene_id;gene_name;seqname;type;weighted_fpkm
gene17437;JYalpha;NC_004353.4;gene;2.56954611693172
gene17438;CR32011;NC_004353.4;pseudogene;0.0895645511798846
gene17439;CR32010;NC_004353.4;pseudogene;0.0100804013620073
gene17440;CR32009;NC_004353.4;pseudogene;0.027476518248166
gene17441;PlexB;NC_004353.4;gene;7.89916412596237
gene17442;CR45124;NC_004353.4;gene;2.65122850166142
gene17443;CR44440;NC_004353.4;gene;0.413373925092524
gene17444;ci;NC_004353.4;gene;7.56478607624538
gene17445;CR43957;NC_004353.4;gene;3.48941946448352
gene17446;RpS3A;NC_004353.4;gene;2505.97880903162
gene17447;snoRNA:CD-24;NC_004353.4;gene;0
gene17448;pan;NC_004353.4;gene;46.0914567666271
gene17449;Ank;NC_004353.4;gene;75.7067421138727
gene17450;anne;NC_004353.4;gene;86.3193791651302
gene17451;CR43956;NC_004353.4;gene;3.6678178123274
gene17452;CG32006;NC_004353.4;gene;2.15363098936756
gene17453;CG31997;NC_004353.4;gene;100.560255482722
gene17454;CG33978;NC_004353.4;gene;5.59396744506273
gene17455;CR45198;NC_004353.4;gene;0.290595331892656
gene17456;Arl4;NC_004353.4;gene;81.1696919193345
gene17457;CG2316;NC_004353.4;gene;71.3148682222431
gene17458;CR44441;NC_004353.4;gene;0.305334012961345
gene17459;CG31998;NC_004353.4;gene;25.1087289600162
gene17460;Crk;NC_004353.4;gene;115.971812021904
gene17461;CG31999;NC_004353.4;gene;18.8121564097989
gene17462;yellow-h;NC_004353.4;gene;8.54341756050597
gene17463;CR46065;NC_004353.4;gene;1.53749370137543
gene17464;CG1674;NC_004353.4;gene;83.912725702991
gene17465;dpr7;NC_004353.4;gene;55.6669455125269
gene17466;RhoGAP102A;NC_004353.4;gene;5.99972912756016
gene17467;NfI;NC_004353.4;gene;27.0805269930849
gene17468;CR44023;NC_004353.4;gene;1.25220712532211
gene17469;Syt7;NC_004353.4;gene;49.2843729345925
gene17470;Rad23;NC_004353.4;gene;103.769773269613
gene17471;Zip102B;NC_004353.4;gene;32.3100376984576
gene17472;CG32850;NC_004353.4;gene;23.7868615988067
gene17473;PMCA;NC_004353.4;gene;140.412573203555
gene17474;Hcf;NC_004353.4;gene;28.540895223006
gene17475;dati;NC_004353.4;gene;15.1056672094932
gene17476;CR45125;NC_004353.4;gene;1.56724911586815
gene17477;CR44027;NC_004353.4;gene;5.83454782457461
gene17478;mir-9385;NC_004353.4;gene;NA
gene17479;CR43437;NC_004353.4;gene;3.02830063315971
gene17480;CR44024;NC_004353.4;gene;12.725636395801
gene17481;lgs;NC_004353.4;gene;26.9493220396986
gene17482;CaMKI;NC_004353.4;gene;166.824413456024
gene17483;CR45126;NC_004353.4;gene;13.5343490104909
gene17484;bip2;NC_004353.4;gene;40.9984169564942
gene17485;CG33941;NC_004353.4;gene;23.399799946228
gene17486;Asator;NC_004353.4;gene;42.4514200335152
gene17487;zfh2;NC_004353.4;gene;7.93809854071985
gene17488;Thd1;NC_004353.4;gene;26.7153441863719
gene17489;CR43958;NC_004353.4;gene;4.06441955055536
gene17490;Pur-alpha;NC_004353.4;gene;105.0771610966
gene17491;ND-49;NC_004353.4;gene;310.605541123067
gene17492;Ephrin;NC_004353.4;gene;26.7090497813372
gene17493;CG1909;NC_004353.4;gene;81.6954131218871
gene17494;CR45199;NC_004353.4;gene;0.504662567797155
gene17495;onecut;NC_004353.4;gene;23.1806541483947
gene17496;Eph;NC_004353.4;gene;41.0599449069766
gene17497;mav;NC_004353.4;gene;20.7233495116132
gene17498;mir-954;NC_004353.4;gene;NA
gene17499;Gat;NC_004353.4;gene;110.118680916244
gene17500;Ekar;NC_004353.4;gene;6.39937811253813
gene17501;CR44028;NC_004353.4;pseudogene;0.56752628070931
gene17502;gw;NC_004353.4;gene;86.6115672856619
gene17503;Slip1;NC_004353.4;gene;38.6312983602054
gene17504;CG11360;NC_004353.4;gene;15.3503906251928
gene17505;myo;NC_004353.4;gene;34.0411686402818
gene17506;ey;NC_004353.4;gene;7.90978709179036
gene17507;bt;NC_004353.4;gene;53.484240341025
gene17508;CR45200;NC_004353.4;gene;0.798385495371639
gene17509;MED26;NC_004353.4;gene;36.1107546823111
gene17510;Sox102F;NC_004353.4;gene;18.7606833174502
gene17511;fd102C;NC_004353.4;gene;1.99454041006612
gene17512;CR33797;NC_004353.4;pseudogene;0.217630981975685
gene17513;CR45123;NC_004353.4;gene;0.144908673514613
gene17514;Gyf;NC_004353.4;gene;60.4158985562961
gene17516;CR43425;NC_004353.4;gene;3.80980084760546
gene17515;unc-13;NC_004353.4;gene;63.4939855790729
gene17517;CR44029;NC_004353.4;gene;15.5258899215289
gene17518;CR43361;NC_004353.4;pseudogene;8.70522150312594
gene17519;eIF4G1;NC_004353.4;gene;75.8129416712324
gene17520;mGluR;NC_004353.4;gene;13.8863697625731
gene17521;4E-T;NC_004353.4;gene;32.573429747969
gene17522;CR45201;NC_004353.4;gene;1.16441866298322
gene17523;CR44030;NC_004353.4;gene;10.8031813778235
