gene_id;seqname;strand;splice5;splice3;n1;n2
gene1;NC_004354.4;-1;125494;125410;137;0
gene1;NC_004354.4;-1;126625;126260;62;40
gene100;NC_004354.4;1;928328;928383;7550;1
gene100;NC_004354.4;1;928486;928549;5578;19
gene1000;NC_004354.4;1;8721110;8721233;5522;0
gene10006;NT_037436.4;1;1399056;1399105;18;0
gene10006;NT_037436.4;1;1399417;1399468;46;0
gene10006;NT_037436.4;1;1399730;1399785;13;0
gene10006;NT_037436.4;1;1400163;1400214;9;1
gene10006;NT_037436.4;1;1400384;1400432;16;5
gene10006;NT_037436.4;1;1400736;1400798;11;0
gene10006;NT_037436.4;1;1401025;1401078;14;0
gene10006;NT_037436.4;1;1401205;1401264;13;0
gene10009;NT_037436.4;1;1411474;1411523;65;0
gene10010;NT_037436.4;1;1417391;1417446;108;2
gene10012;NT_037436.4;-1;1434986;1434923;18;0
gene10012;NT_037436.4;-1;1435349;1435275;16;0
gene10012;NT_037436.4;-1;1436940;1436876;21;0
gene10012;NT_037436.4;-1;1437203;1437140;12;0
gene10014;NT_037436.4;1;1465823;1466489;622;1
gene10014;NT_037436.4;1;1466908;1467039;78;0
gene10016;NT_037436.4;-1;1476581;1476523;3950;0
gene10016;NT_037436.4;-1;1477056;1476994;2534;2
gene10016;NT_037436.4;-1;1478771;1477288;2732;92
gene10016;NT_037436.4;-1;1488097;1488030;15;0
gene10016;NT_037436.4;-1;1488245;1488191;56;0
gene1002;NC_004354.4;-1;8758694;8758405;232;0
gene1002;NC_004354.4;-1;8768055;8758957;542;0
gene1002;NC_004354.4;-1;8768751;8768275;467;0
gene1002;NC_004354.4;-1;8787609;8768943;388;175
gene1002;NC_004354.4;-1;8788733;8787837;435;0
gene1002;NC_004354.4;-1;8804963;8788930;90;0
gene10020;NT_037436.4;-1;1491983;1491919;4656;0
gene10020;NT_037436.4;-1;1492313;1492230;2670;0
gene10020;NT_037436.4;-1;1492645;1492464;4346;0
gene10020;NT_037436.4;-1;1492875;1492808;5241;2
gene10020;NT_037436.4;-1;1493093;1493038;5210;0
gene10020;NT_037436.4;-1;1493328;1493266;2999;0
gene10020;NT_037436.4;-1;1494589;1494269;2964;5
gene10022;NT_037436.4;-1;1498292;1498231;8045;0
gene10022;NT_037436.4;-1;1499042;1498797;5879;1
gene10022;NT_037436.4;-1;1502466;1501893;2785;2
gene10024;NT_037436.4;1;1517957;1518176;3048;1185
gene10024;NT_037436.4;1;1518797;1519946;3892;19
gene10024;NT_037436.4;1;1520764;1521133;4884;3
gene10024;NT_037436.4;1;1522459;1522521;2041;1
gene10024;NT_037436.4;1;1522645;1522706;914;3
gene10025;NT_037436.4;-1;1503986;1503929;5835;0
gene10025;NT_037436.4;-1;1504387;1504321;12468;24
gene10025;NT_037436.4;-1;1516912;1505793;5266;29
gene10026;NT_037436.4;-1;1523913;1523857;6031;0
gene10026;NT_037436.4;-1;1524026;1523970;7131;4
gene10026;NT_037436.4;-1;1524194;1524140;8122;0
gene10026;NT_037436.4;-1;1524424;1524358;7437;0
gene10026;NT_037436.4;-1;1524640;1524586;6999;75
gene10026;NT_037436.4;-1;1524867;1524809;3776;0
gene10026;NT_037436.4;-1;1525021;1524966;441;3
gene10026;NT_037436.4;-1;1525284;1525229;1839;2
gene10026;NT_037436.4;-1;1526333;1525393;1824;966
gene10026;NT_037436.4;-1;1526659;1526399;1561;40
gene10026;NT_037436.4;-1;1527438;1527382;3440;2
gene10026;NT_037436.4;-1;1527673;1527614;3631;0
gene10026;NT_037436.4;-1;1529105;1528077;745;124
gene10026;NT_037436.4;-1;1531579;1531523;481;0
gene10026;NT_037436.4;-1;1532050;1531989;1535;0
gene10026;NT_037436.4;-1;1532282;1532223;1062;1
gene10026;NT_037436.4;-1;1532944;1532888;878;0
gene10026;NT_037436.4;-1;1533493;1533434;1148;0
gene10026;NT_037436.4;-1;1533856;1533802;1496;0
gene10029;NT_037436.4;1;1537990;1538044;1329;1
gene10029;NT_037436.4;1;1538155;1538719;940;3
gene10029;NT_037436.4;1;1539133;1539195;2256;1
gene10029;NT_037436.4;1;1539486;1539547;2803;0
gene10029;NT_037436.4;1;1540629;1540750;2637;1
gene10029;NT_037436.4;1;1541834;1541895;1804;1
gene10029;NT_037436.4;1;1542236;1542298;2212;0
gene10029;NT_037436.4;1;1542429;1542485;1377;0
gene10029;NT_037436.4;1;1542737;1542812;981;0
gene10029;NT_037436.4;1;1542959;1543024;2606;0
gene10029;NT_037436.4;1;1543144;1543209;1460;0
gene10029;NT_037436.4;1;1543593;1543653;3879;13
gene10030;NT_037436.4;-1;1545169;1545104;639;8
gene10030;NT_037436.4;-1;1545473;1545406;570;59
gene10030;NT_037436.4;-1;1545655;1545606;439;31
gene10031;NT_037436.4;1;1551289;1551477;3220;31
gene10031;NT_037436.4;1;1551802;1551864;12403;2
gene10033;NT_037436.4;1;1554011;1554077;5226;0
gene10033;NT_037436.4;1;1554402;1554460;3749;0
gene10034;NT_037436.4;-1;1556062;1556004;10622;0
gene10034;NT_037436.4;-1;1556271;1556218;10963;0
gene10034;NT_037436.4;-1;1557788;1557715;3980;2
gene10035;NT_037436.4;1;1559105;1559158;2630;0
gene10036;NT_037436.4;-1;1563965;1562998;244;1
gene10038;NT_037436.4;1;1572239;1572291;5432;1
gene10038;NT_037436.4;1;1572458;1572523;7394;0
gene10038;NT_037436.4;1;1572783;1572968;3546;2
gene10038;NT_037436.4;1;1573309;1573545;5844;1
gene10038;NT_037436.4;1;1573621;1573679;6230;0
gene10038;NT_037436.4;1;1573765;1573993;5160;1208
gene10039;NT_037436.4;1;1597546;1597617;2254;0
gene10039;NT_037436.4;1;1598405;1598464;981;0
gene1004;NC_004354.4;1;8867859;8867997;290;0
gene1004;NC_004354.4;1;8868225;8869213;364;10
gene1004;NC_004354.4;1;8869909;8869976;132;0
gene10040;NT_037436.4;-1;1602484;1601934;2278;66
gene10041;NT_037436.4;1;1605057;1605158;662;0
gene10041;NT_037436.4;1;1605523;1605588;703;0
gene10041;NT_037436.4;1;1606032;1606085;643;0
gene10041;NT_037436.4;1;1606901;1606959;71;1
gene10041;NT_037436.4;1;1607115;1607169;882;0
gene10041;NT_037436.4;1;1608068;1608133;641;0
gene10041;NT_037436.4;1;1608289;1616517;475;12
gene10041;NT_037436.4;1;1616763;1616819;547;3
gene10042;NT_037436.4;1;1603250;1603306;393;0
gene10042;NT_037436.4;1;1603400;1603457;396;8
gene10044;NT_037436.4;-1;1617706;1617622;3575;3
gene10046;NT_037436.4;1;1618618;1620427;3083;7
gene10046;NT_037436.4;1;1621043;1621102;2319;0
gene10046;NT_037436.4;1;1621258;1621316;1209;0
gene10046;NT_037436.4;1;1622666;1622731;8187;2
gene10048;NT_037436.4;-1;1624669;1624598;1288;0
gene10048;NT_037436.4;-1;1625074;1625017;594;1
gene1005;NC_004354.4;-1;8874188;8874112;8978;0
gene1005;NC_004354.4;-1;8874511;8874402;6025;2837
gene1005;NC_004354.4;-1;8875093;8874900;10712;0
gene1005;NC_004354.4;-1;8876305;8876060;1217;1086
gene1005;NC_004354.4;-1;8876572;8875861;19482;5268
gene1005;NC_004354.4;-1;8880291;8876753;18455;1328
gene10050;NT_037436.4;-1;1635300;1635238;11683;0
gene10050;NT_037436.4;-1;1635533;1635460;3851;0
gene10051;NT_037436.4;-1;1639041;1638855;1433;531
gene10053;NT_037436.4;-1;1644011;1643956;1164;0
gene10058;NT_037436.4;1;1649508;1650713;3340;10
gene10058;NT_037436.4;1;1650853;1650912;3901;1
gene10059;NT_037436.4;-1;1652331;1652265;10739;2
gene10059;NT_037436.4;-1;1652566;1652483;3462;1
gene10059;NT_037436.4;-1;1652689;1652629;4132;1
gene10060;NT_037436.4;1;1653044;1653141;6901;67
gene10060;NT_037436.4;1;1653255;1653316;7525;0
gene10060;NT_037436.4;1;1653576;1653634;10631;4
gene10061;NT_037436.4;-1;1655524;1655461;3186;0
gene10061;NT_037436.4;-1;1658519;1658465;7077;2
gene10061;NT_037436.4;-1;1659845;1658591;6282;2201
gene10061;NT_037436.4;-1;1661108;1660858;4429;991
gene10061;NT_037436.4;-1;1661226;1661166;9873;0
gene10061;NT_037436.4;-1;1663919;1661593;10881;481
gene10061;NT_037436.4;-1;1664531;1664022;2592;757
gene10062;NT_037436.4;1;1665367;1665420;1546;0
gene10062;NT_037436.4;1;1666035;1666089;2432;0
gene10067;NT_037436.4;-1;1667808;1667736;92231;4
gene10067;NT_037436.4;-1;1668595;1668222;67486;16
gene10068;NT_037436.4;-1;1669078;1669024;87;0
gene10068;NT_037436.4;-1;1669354;1669305;69;0
gene10068;NT_037436.4;-1;1669550;1669489;65;0
gene10068;NT_037436.4;-1;1669674;1669616;69;0
gene10068;NT_037436.4;-1;1669836;1669777;57;0
gene1007;NC_004354.4;1;8901813;8901879;356;0
gene1007;NC_004354.4;1;8901927;8901997;145;0
gene1007;NC_004354.4;1;8902812;8903201;6644;1
gene10070;NT_037436.4;1;1689614;1698646;159;4
gene10070;NT_037436.4;1;1698704;1712273;316;7
gene10070;NT_037436.4;1;1712784;1712840;137;0
gene10073;NT_037436.4;-1;1716796;1716557;6440;3675
gene10073;NT_037436.4;-1;1717002;1716944;10357;0
gene10073;NT_037436.4;-1;1717378;1717309;2764;0
gene10073;NT_037436.4;-1;1717946;1717880;5868;0
gene10073;NT_037436.4;-1;1718705;1718154;2403;73
gene10073;NT_037436.4;-1;1719922;1719746;1642;0
gene10073;NT_037436.4;-1;1723579;1720170;1895;804
gene10073;NT_037436.4;-1;1723769;1723706;3646;0
gene10073;NT_037436.4;-1;1723991;1723934;4058;1
gene10076;NT_037436.4;-1;1731588;1731521;150;0
gene10076;NT_037436.4;-1;1733344;1733290;40;0
gene10076;NT_037436.4;-1;1733705;1733644;33;0
gene10076;NT_037436.4;-1;1733860;1733810;33;0
gene10076;NT_037436.4;-1;1734486;1734434;116;0
gene10076;NT_037436.4;-1;1734720;1734662;27;0
gene10076;NT_037436.4;-1;1735402;1735158;26;0
gene10076;NT_037436.4;-1;1735565;1735515;25;0
gene10077;NT_037436.4;-1;1736964;1736911;97;0
gene10078;NT_037436.4;1;1743835;1743903;4364;2
gene10079;NT_037436.4;1;1748090;1749177;642;164
gene10079;NT_037436.4;1;1749411;1749470;1419;0
gene10079;NT_037436.4;1;1749655;1749717;981;376
gene10080;NT_037436.4;-1;1753437;1753311;1718;0
gene10080;NT_037436.4;-1;1754000;1753944;3292;0
gene10080;NT_037436.4;-1;1754236;1754166;1784;4
gene10081;NT_037436.4;1;1756537;1756611;991;0
gene10081;NT_037436.4;1;1757204;1757321;3259;290
gene10081;NT_037436.4;1;1758147;1758206;4664;0
gene10081;NT_037436.4;1;1758350;1758413;3821;11
gene10081;NT_037436.4;1;1758655;1758715;4327;0
gene10082;NT_037436.4;-1;1760557;1760489;58;0
gene10082;NT_037436.4;-1;1760940;1760878;81;0
gene10082;NT_037436.4;-1;1764780;1764719;10;0
gene10082;NT_037436.4;-1;1765925;1765870;12;0
gene10082;NT_037436.4;-1;1766227;1766169;37;0
gene10082;NT_037436.4;-1;1766600;1766543;57;0
gene10082;NT_037436.4;-1;1769331;1769271;50;0
gene10082;NT_037436.4;-1;1769581;1769513;64;0
gene10083;NT_037436.4;-1;1773422;1773370;3139;0
gene10083;NT_037436.4;-1;1773577;1773527;847;11
gene10083;NT_037436.4;-1;1773980;1773911;1427;11
gene10088;NT_037436.4;-1;1779384;1779311;15119;0
gene10088;NT_037436.4;-1;1781094;1779986;11286;1116
gene10088;NT_037436.4;-1;1781758;1781699;3253;0
gene10088;NT_037436.4;-1;1784906;1783683;4531;219
gene1009;NC_004354.4;1;8907745;8908064;200;2
gene1009;NC_004354.4;1;8912945;8916696;1250;69
gene1009;NC_004354.4;1;9000241;9000681;162;115
gene1009;NC_004354.4;1;9002118;9014828;421;210
gene1009;NC_004354.4;1;9014968;9016124;3188;2
gene1009;NC_004354.4;1;9016329;9017861;2594;849
gene1009;NC_004354.4;1;9017989;9019404;2537;1
gene1009;NC_004354.4;1;9019784;9019850;849;0
gene1009;NC_004354.4;1;9021292;9021358;4104;2
gene1009;NC_004354.4;1;9021653;9021725;4746;4
gene1009;NC_004354.4;1;9021953;9022017;1607;0
gene1009;NC_004354.4;1;9022240;9023274;1899;701
gene1009;NC_004354.4;1;9023327;9023741;2187;350
gene1009;NC_004354.4;1;9023796;9024073;2720;539
gene1009;NC_004354.4;1;9024138;9024260;4738;302
gene1009;NC_004354.4;1;9024419;9024623;2310;3
gene1009;NC_004354.4;1;9024788;9025165;3314;0
gene10091;NT_037436.4;1;1795733;1795792;2367;0
gene10091;NT_037436.4;1;1795997;1796177;5903;3
gene10091;NT_037436.4;1;1796838;1796901;7442;4
gene10093;NT_037436.4;1;1798350;1798413;372;0
gene10094;NT_037436.4;1;1800700;1800759;735;2
gene10096;NT_037436.4;1;1803328;1803432;1903;14
gene10096;NT_037436.4;1;1803568;1805009;992;772
gene10096;NT_037436.4;1;1804356;1804416;1619;1
gene10096;NT_037436.4;1;1805459;1805530;940;0
gene10096;NT_037436.4;1;1805709;1806235;1314;61
gene10099;NT_037436.4;1;1812685;1821213;2054;14
gene10099;NT_037436.4;1;1821420;1821806;1271;8
gene10101;NT_037436.4;-1;1834288;1832995;1337;1
gene10101;NT_037436.4;-1;1834586;1834529;3141;1
gene10101;NT_037436.4;-1;1834868;1834684;4342;0
gene10102;NT_037436.4;-1;1841760;1841188;666;0
gene10102;NT_037436.4;-1;1841989;1841893;743;0
gene10103;NT_037436.4;-1;1851484;1851419;107;49
gene10103;NT_037436.4;-1;1851661;1851497;96;50
gene10103;NT_037436.4;-1;1852051;1851972;78;1
gene10104;NT_037436.4;1;1857404;1857464;986;885
gene10107;NT_037436.4;1;1865918;1867140;7420;29
gene10109;NT_037436.4;-1;1872581;1871918;8696;2105
gene10109;NT_037436.4;-1;1872799;1872736;11005;0
gene10109;NT_037436.4;-1;1873116;1873063;2283;0
gene10109;NT_037436.4;-1;1874040;1873984;3435;0
gene10109;NT_037436.4;-1;1875286;1875219;5911;0
gene10109;NT_037436.4;-1;1875651;1875587;3761;1
gene10109;NT_037436.4;-1;1876109;1875916;4608;1
gene10110;NT_037436.4;-1;1876847;1876782;4023;0
gene10110;NT_037436.4;-1;1877290;1877186;3231;1
gene10110;NT_037436.4;-1;1877517;1877447;4164;0
gene10110;NT_037436.4;-1;1877760;1877663;2784;28
gene10110;NT_037436.4;-1;1877891;1877828;1787;0
gene10110;NT_037436.4;-1;1878355;1878040;954;860
gene10111;NT_037436.4;-1;1884322;1884249;1509;0
gene10111;NT_037436.4;-1;1884690;1884561;4023;0
gene10112;NT_037436.4;1;1889949;1890018;72;0
gene10112;NT_037436.4;1;1890153;1890321;1006;0
gene10112;NT_037436.4;1;1890449;1890614;652;0
gene10112;NT_037436.4;1;1890858;1890918;1621;0
gene10113;NT_037436.4;-1;1894321;1894264;1798;0
gene10113;NT_037436.4;-1;1894604;1894448;184;0
gene10113;NT_037436.4;-1;1895418;1895319;1441;2
gene10113;NT_037436.4;-1;1896721;1895561;1567;10
gene10113;NT_037436.4;-1;1896937;1896880;366;0
gene10113;NT_037436.4;-1;1902465;1897030;767;66
gene10114;NT_037436.4;1;1924978;1925254;22;0
gene10114;NT_037436.4;1;1925523;1932653;26;1
gene10117;NT_037436.4;-1;1934271;1934215;4124;1
gene10117;NT_037436.4;-1;1934799;1934734;4111;1
gene10117;NT_037436.4;-1;1935213;1935160;1794;1
gene10117;NT_037436.4;-1;1935387;1935330;2069;1
gene10117;NT_037436.4;-1;1935611;1935550;1521;0
gene10119;NT_037436.4;1;1941255;1941315;715;0
gene10119;NT_037436.4;1;1942238;1942299;1389;0
gene10120;NT_037436.4;-1;1943252;1943197;2450;9
gene10120;NT_037436.4;-1;1943614;1943556;3288;0
gene10120;NT_037436.4;-1;1943779;1943723;3125;0
gene10120;NT_037436.4;-1;1943876;1943822;2195;0
gene10120;NT_037436.4;-1;1945109;1945053;1280;0
gene10120;NT_037436.4;-1;1945263;1945206;371;1
gene10120;NT_037436.4;-1;1945436;1945382;2070;1
gene10120;NT_037436.4;-1;1945647;1945592;972;249
gene10120;NT_037436.4;-1;1946538;1946485;565;0
gene10120;NT_037436.4;-1;1947079;1947020;1206;0
gene10120;NT_037436.4;-1;1947338;1947281;235;0
gene10121;NT_037436.4;1;1949024;1949081;238;1
gene10121;NT_037436.4;1;1949244;1949305;608;0
gene10121;NT_037436.4;1;1949644;1949707;1057;0
gene10122;NT_037436.4;-1;1950760;1950700;493;0
gene10122;NT_037436.4;-1;1951283;1951229;3124;0
gene10122;NT_037436.4;-1;1952247;1952183;3401;0
gene10122;NT_037436.4;-1;1952807;1952749;2014;0
gene10122;NT_037436.4;-1;1953618;1953562;1392;0
gene10122;NT_037436.4;-1;1953811;1953753;384;0
gene10122;NT_037436.4;-1;1954598;1954538;218;5
gene10122;NT_037436.4;-1;1954828;1954770;1339;1
gene10122;NT_037436.4;-1;1956458;1956404;757;0
gene10122;NT_037436.4;-1;1957501;1957446;1209;0
gene10122;NT_037436.4;-1;1958000;1957945;345;2
gene10122;NT_037436.4;-1;1959571;1958784;587;91
gene10122;NT_037436.4;-1;1962235;1962156;407;0
gene10122;NT_037436.4;-1;1962412;1962347;424;0
gene10122;NT_037436.4;-1;1962643;1962576;507;0
gene10122;NT_037436.4;-1;1962802;1962721;447;0
gene10123;NT_037436.4;1;1964610;1965074;2777;27
gene10123;NT_037436.4;1;1965274;1965329;3136;0
gene10123;NT_037436.4;1;1966307;1966364;834;0
gene10126;NT_037436.4;-1;1967199;1967140;21441;1
gene10126;NT_037436.4;-1;1969599;1967503;9274;19
gene10128;NT_037436.4;1;1971822;1972073;398;0
gene10128;NT_037436.4;1;1972200;1972262;487;8
gene10128;NT_037436.4;1;1972414;1972476;304;0
gene10128;NT_037436.4;1;1972599;1973037;284;3
gene10128;NT_037436.4;1;1973265;1973338;229;0
gene10128;NT_037436.4;1;1973470;1973535;87;0
gene10128;NT_037436.4;1;1973715;1973771;600;6
gene10128;NT_037436.4;1;1973945;1974000;478;0
gene10134;NT_037436.4;-1;2037528;2037474;799;2
gene10134;NT_037436.4;-1;2037873;2037817;814;1
gene10135;NT_037436.4;-1;2040775;2040573;14294;0
gene10135;NT_037436.4;-1;2041138;2041079;6460;3
gene10135;NT_037436.4;-1;2041392;2041334;11616;0
gene10135;NT_037436.4;-1;2041709;2041498;9607;3257
gene10135;NT_037436.4;-1;2042090;2042016;9408;1
gene10135;NT_037436.4;-1;2043240;2043107;6051;0
gene10135;NT_037436.4;-1;2043448;2043383;4964;0
gene10135;NT_037436.4;-1;2045195;2045117;5155;444
gene10135;NT_037436.4;-1;2046281;2046165;5068;442
gene10135;NT_037436.4;-1;2046593;2046534;5463;0
gene10135;NT_037436.4;-1;2046857;2046636;5186;2
gene10135;NT_037436.4;-1;2062046;2061532;1198;904
gene10135;NT_037436.4;-1;2067611;2066334;22;0
gene10135;NT_037436.4;-1;2076629;2076425;5115;27
gene10135;NT_037436.4;-1;2076901;2076691;1249;6
gene10135;NT_037436.4;-1;2078035;2077963;3491;2
gene10135;NT_037436.4;-1;2078962;2078141;4045;2291
gene10135;NT_037436.4;-1;2079735;2079677;2176;1
gene10135;NT_037436.4;-1;2080163;2079804;1489;634
gene10135;NT_037436.4;-1;2081688;2081391;964;634
gene10135;NT_037436.4;-1;2091247;2091130;10411;0
gene10135;NT_037436.4;-1;2092620;2092560;2195;0
gene10135;NT_037436.4;-1;2094007;2093948;6996;0
gene10135;NT_037436.4;-1;2094275;2094180;2008;0
gene10135;NT_037436.4;-1;2094572;2094508;3500;3
gene10135;NT_037436.4;-1;2094925;2094861;4415;0
gene10135;NT_037436.4;-1;2100564;2100485;2885;0
gene10135;NT_037436.4;-1;2103427;2103364;2009;0
gene10135;NT_037436.4;-1;2104854;2104793;1706;0
gene10135;NT_037436.4;-1;2105149;2105085;1956;0
gene10135;NT_037436.4;-1;2114125;2106735;1413;44
gene10137;NT_037436.4;-1;2118766;2117624;375;0
gene10137;NT_037436.4;-1;2123299;2122961;3382;0
gene10137;NT_037436.4;-1;2123596;2123481;3308;0
gene10137;NT_037436.4;-1;2124181;2123680;5784;978
